名称,位置,建面,销售状态,类型,价格
湾流,欧亚大道，灞河东岸,建面 370~395m²,在售,别墅,17000
陆港金海岸,西滨大道1号,建面 163~206m²,在售,普通住宅,12000
融创天朗融公馆,长鸣路与南三环交汇处向东300米路北,建面 258m²,在售,别墅,350
紫楹台,灞桥生态湿地公园柳烟路与柳新路交汇处,建面 692~1000m²,在售,别墅,3200
中海悦墅,浐灞一路以北、广运潭大道西侧,建面 178m²,在售,别墅,360
自然界城墅,浐河东路中段（欧亚大道与浐河东路十字向南1公里）,建面 242~310m²,在售,普通住宅,14000
龙湖源著,北辰大道与浐灞一路交汇处向东800米,建面 142~251m²,在售,普通住宅,13000
普华浅水湾,柳烟路（灞河公园西邻）,建面 79~195m²,在售,普通住宅,8000
万象湾,纺渭路与柳新路十字东南角(铁一中滨河校区对面）,,在售,普通住宅,6800
中铁琉森水岸,东城大道灞桥湿地公园里,建面 129m²,在售,普通住宅,7800
绿地与湖,雁鸣湖浐河西路,建面 232~290m²,在售,别墅,18500
御锦城时代ICON,浐河东岸东三环与长乐东路交汇处西北角,建面 79~143m²,在售,普通住宅,7200
振业泊公馆,广安路800号,建面 160~206m²,在售,普通住宅,8500
香江湾,灞河西路向东南500米,建面 153m²,在售,普通住宅,14000
御锦城九珑湾,长乐东路与浐河交汇处地铁1号线浐河站,建面 80~115m²,在售,普通住宅,7600
富力白鹭湾,灞柳一路与纺园五路十字东南角,建面 86~103m²,在售,普通住宅,7000
自然界,浐灞大道浐河东200米,建面 92m²,在售,普通住宅,8700
枫林九溪,迎宾大道西侧,建面 88~174m²,在售,普通住宅,8000
高科绿水东城,纺渭路与席王路十字北1公里路西,建面 134~137m²,在售,普通住宅,6800
滨水花城,广运潭大道向东100米,建面 84~103m²,在售,普通住宅,5100
广厦水岸东方,长乐路浐河东岸地铁1号线浐河站A1出口,建面 185m²,在售,普通住宅,5700
恒大御龙湾,南三环与长鸣路十字向南300米路东,建面 80~179m²,在售,普通住宅,9500
浐灞1号,东二环北延伸线与浐灞大道交汇处,建面 31~94m²,在售,普通住宅,8000
冠昌金域湾畔,浐河东路桃花潭东侧200米,建面 148~286m²,在售,普通住宅,9000
颐馨湿地壹號,秦汉大道与灞河东路交汇处向北200米,建面 81~92m²,在售,普通住宅,5200
高科麓湾国际社区,浐河东路南端(雁鸣湖东岸),,待售,普通住宅,6500
东城国际,纺渭路与灞瑞二路交汇处,建面 125m²,在售,普通住宅,6300
灞业大境,长乐东路地铁一号线长乐坡站向南500路西,建面 46~89m²,在售,普通住宅,5900
天朗蔚蓝东庭,广运潭大道以西，浐灞二路以北,建面 93~98m²,在售,普通住宅,9500
荣德棕榈阳光,浐灞一路与北郊路十字东北角（北辰大道以东）,建面 75~183m²,在售,普通住宅,8600
永泽五里州,纺织城地铁站向北500米处,建面 140m²,在售,普通住宅,6400
长乐府,地铁一号线长乐坡站路南200米,建面 138m²,在售,普通住宅,6700
西港碧水湾,西航花园向北500米处秦汉大道北,建面 91~125m²,在售,普通住宅,5200
香榭水岸,灞柳一路与纺园三路交汇处,建面 70~118m²,在售,普通住宅,5500
华阳玲珑苑,纺渭路与长乐东路十字西北角,建面 101~110m²,在售,普通住宅,6600
振业泊岸,世博大道以东,建面 135~191m²,在售,普通住宅,11500
桃源漫步,金桥三路与浐河东路东南角（桃花潭公园东60米）,建面 116~203m²,在售,普通住宅,12000
龙湖源著,北辰大道与浐灞一路交汇处向东800米,,在售,商铺,17000
雁鸣墅语,咸宁路与浐河西路什字南雁鸣湖畔,建面 896m²,在售,别墅,17000
合能十里锦绣,东三环与半引路南端交汇处,,在售,商铺,15000
东城新一家TT国际,灞桥区新寺纺渭路与纺北路十字口东北角,,在售,写字楼,7400
西安华南城,国际港务区港务大道8号,,在售,商铺,14000
紫楹台,灞桥生态湿地公园柳烟路与柳新路交汇处,建面 221~332m²,在售,普通住宅,12000
龙腾万都汇,长乐中路长田路中段,建面 82m²,售罄,普通住宅,6200
腾业国王镇,纺渭西路十字往北50米,,售罄,普通住宅,5800
紫薇花园洲,世博大道与欧亚大道十字向东500米,,售罄,别墅,13500
雁鸣墅语,咸宁路与浐河西路什字南雁鸣湖畔,建面 241~243m²,售罄,普通住宅,9700
世园大公馆,世博大道与东三环交汇处向东800米,,售罄,别墅,15000
世园大公馆,世博大道与东三环交汇处向东800米,,售罄,普通住宅,6200
