名称,位置,建面,销售状态,类型,价格
恒大国际城,尚稷路与尚宏路交汇处,建面 225m²,在售,普通住宅,9800
紫郡华宸,未央宫街办朱宏路南段,建面 42m²,在售,普通住宅,6000
名京九合院,未央路公交六公司对面未央大道西侧100米,建面 137m²,在售,普通住宅,9200
白桦林明天,大明宫国家遗址公园东南侧,建面 288~410m²,在售,普通住宅,20000
珠江新城,北二环东段御井路1606号,建面 51~73m²,在售,普通住宅,3750
荣民宫园中央,未央路与玄武路十字东南角200米,建面 118m²,在售,普通住宅,12000
中航樾公馆,未央路与玄武路交汇处向东约500米路北,建面 175m²,在售,普通住宅,12000
中国铁建西派国际,太华路与北二环十字东南角,建面 193m²,在售,普通住宅,16000
正尚盛世家合,凤城五路与太华路十字西北角,建面 44m²,在售,普通住宅,4000
兴盛园MOMA公寓,凤城五路与贞观路十字东南角,建面 49m²,在售,普通住宅,7300
万达公馆,北二环与太华北路交汇处向北200米,建面 230~290m²,在售,普通住宅,13000
绿地香树花城,东北二环交汇处红星美凯龙北侧200米,建面 73~275m²,在售,普通住宅,7500
明丰阿基米德,明光路与元朔路十字东南角,建面 134m²,在售,普通住宅,6700
天丰东环广场,矿山路十字西南角向南200米,建面 141~151m²,在售,普通住宅,6800
上和郡,石家街东园西路11号,建面 83m²,在售,普通住宅,7350
泽星雅龙湾,大兴新区朱宏路与方新路十字向东200米,建面 134m²,在售,普通住宅,6500
恒大帝景,凤城五路与太华路十字东500米,建面 90~136m²,在售,普通住宅,9700
红星美凯城,北辰大道与凤城一路交汇处,建面 92~154m²,在售,普通住宅,7700
紫薇东进,大明宫国家遗址公园旁含元路东600米（八府庄北路）,建面 85~128m²,在售,普通住宅,7500
碧桂园天玺,北二环与御井路交汇处向北500米,建面 94~140m²,在售,普通住宅,9200
时代SOHO,油库街18号,建面 79~127m²,在售,普通住宅,7800
唐樾六和坊,大明宫遗址公园东侧1000米,建面 119~158m²,在售,普通住宅,9700
华浮宫桂园,环湖西路与湖滨路西北角,建面 113~266m²,在售,普通住宅,6900
新福兴纽约城,北二环与朱宏路十字向南500米路东,建面 129m²,在售,普通住宅,8200
华远枫悦,凤城五路与太华路十字向东400米路北,建面 90~125m²,在售,普通住宅,9000
利君未来城,北辰立交西南侧（梁家堡附近）,,在售,普通住宅,4500
经发新北居,文景路与尚稷路交汇处东南角,建面 62~88m²,在售,普通住宅,3450
泽星大厦,朱宏路与梨园路十字向北200米路东,建面 183~209m²,在售,普通住宅,7500
倚能维兰德小镇,阳光大道未央湖游乐园对面,建面 256~292m²,在售,普通住宅,6500
隆源国际城,尚新路与尚贤路交汇处（北客站东900米）,,待售,普通住宅,7200
辰宫双河湾,湖滨路与辛王路交汇处（未央湖东）,建面 57~131m²,在售,普通住宅,5500
坚果公寓,三府湾客运站向东300米（华清西路北侧）,建面 35m²,在售,普通住宅,6800
锦舍公寓,凤城一路东段168号,建面 82~120m²,在售,普通住宅,9500
中天锦庭,太华路银河坊向东200米,建面 86~226m²,在售,普通住宅,7000
华帝金座,北二环与贞观路交汇处东北角,,在售,写字楼,8600
金科天籁城,太华北路与凤城二路十字东侧万达广场旁,,在售,商铺,35000
龙记玖玺,未央路延伸段（西铜高速）以东500米,建面 85~117m²,在售,普通住宅,6350
新福兴纽约城,北二环与朱宏路十字向南500米路东,,在售,底商,15000
华远锦悦中心,太华北路大明宫万达北200米,,在售,写字楼,9000
百寰国际,北二环太华路立交东北角,,在售,写字楼,12000
皇城九号,自强西路68号（纸坊村十字向西50米）,建面 42~146m²,在售,普通住宅,7500
80年代,东二环与东元路的交叉口,,售罄,普通住宅,6800
星雨华府,尚苑路与朱宏路交汇处西南角,,售罄,普通住宅,6500
