名称,位置,建面,销售状态,类型,价格
华东万悦城,朝阳门外向东300米路南,建面 93~129m²,在售,普通住宅,8500
万科金域东郡,东二环与北二环交汇处东南角,建面 130~271m²,在售,普通住宅,11000
上上墅,矿山路中段,建面 32~53m²,在售,普通住宅,13000
巴黎大厦,酒十路与米秦路十字西南角,建面 147~172m²,在售,普通住宅,5500
臻园阳光,纺织城正街449号,建面 123~131m²,在售,普通住宅,5900
林邑,二环北路与二环东路交汇处（辛家庙地铁站向东300米）,建面 72~114m²,在售,普通住宅,8200
中铁缤纷新城,纺西街108号（原西北国棉六厂）,建面 119m²,在售,普通住宅,6000
上东大道,东二环矿山路十字东南角,建面 48~51m²,在售,普通住宅,6000
兴庆宫,兴庆公园北门（新廓门33号）,建面 69~164m²,在售,普通住宅,10000
恒基碧翠锦华,金花北路299号（胡家庙十字东北角）,建面 101~105m²,在售,普通住宅,11000
翰骊国际,幸福南路与西影路东段交汇处,建面 51~82m²,在售,普通住宅,6300
半坡国际广场,长乐路与东三环交汇口堡子村转盘,建面 82~140m²,在售,普通住宅,6700
华清学府城,幸福南路与建工路交汇处（千亩幸福林带以东）,建面 86~136m²,在售,普通住宅,7600
林河春天,纺渭路与纺北路十字向南200米,建面 81~124m²,在售,普通住宅,5600
天香心苑,玄武东路与东二环十字东南角(矿山路以北),建面 85~113m²,在售,普通住宅,7500
科达东御兰汀,东二环石家街转盘向北50米,建面 147m²,在售,普通住宅,8300
学府首座,兴庆路南段,建面 72m²,在售,普通住宅,8300
紫郡观澜,酒十路路西，米秦路路北,建面 54~95m²,在售,普通住宅,7000
中铁缇香郡,广运潭大道与矿山路交汇东南处,建面 95~103m²,在售,普通住宅,6900
华远海蓝城,东二环玄武东路中段,建面 83~130m²,在售,普通住宅,9500
新兴新庆坊,互助路66号,建面 39m²,在售,普通住宅,9000
华旗东郡,兴工东路和公园北路十字交汇处,建面 103~140m²,在售,普通住宅,6000
阳光香榭,灞桥区纺织城地铁站向南400米（五十五中东邻）,建面 95~136m²,在售,普通住宅,5500
兰蒂斯城,兴庆路中段,建面 146m²,在售,普通住宅,9000
海棠华府,纺渭路与纺建路十字西南角,建面 176m²,在售,普通住宅,5600
天时新苑,东二环和胡家庙十字向东300米,建面 80~111m²,在售,普通住宅,8200
朝阳国际广场,长乐西路166号,建面 118~141m²,在售,普通住宅,8600
就掌灯,金花北路六号,建面 148m²,在售,普通住宅,20000
朝阳新世界,朝阳门外长乐西路1号,建面 120~158m²,在售,写字楼,8500
天伦佐治公馆,东二环胡家庙地铁站北500米,建面 47~117m²,在售,普通住宅,8200
