名称,位置,建面,销售状态,类型,价格
天伦御城龙脉,南二环铁一中北门,建面 82~146m²,在售,普通住宅,9800
中贸广场,南关正街与友谊路十字路口向北280米路西,建面 91~137m²,在售,普通住宅,14500
海亮新英里,西沣路与雁环路交汇处东南角（西安高新国际学校对面）,建面 132~136m²,在售,普通住宅,10000
丰硕佳园,丈八东路与子午大道十字向南,建面 60m²,在售,普通住宅,3890
中铁立丰城市生活广场,丈八东路与子午大道十字西南角,建面 32~87m²,在售,普通住宅,12000
新旅城,建设西路323医院对面,,在售,普通住宅,7300
澳城大厦,长安南路86号,建面 43~139m²,在售,普通住宅,6800
华龙太乙城,太乙路立交东北角,建面 73~139m²,在售,普通住宅,9500
九锦台,含光北路23号,建面 245~440m²,在售,普通住宅,12000
九锦一号,含光北路23号,建面 37~78m²,在售,普通住宅,9000
哈佛印象,太乙路与友谊东路十字西南角,建面 80m²,在售,普通住宅,7850
新长城,太白路立交东南角,建面 65~99m²,在售,普通住宅,11000
高新第五季,西万路与锦业二路丁字东北角,建面 121~140m²,在售,普通住宅,8500
融尚中央住区,朱雀大街与青松路十字西南角,建面 38~67m²,在售,普通住宅,8500
金地西沣公元,西沣路与西部大道十字向东1000米,建面 164m²,在售,普通住宅,9500
铭城16号,丈八东路16号,建面 147~163m²,在售,普通住宅,7700
绿地悦公馆,西影路与西延路十字东北角,建面 34~63m²,在售,普通住宅,10000
敬业大厦,文艺北路陕西省歌舞剧院旁,建面 61~126m²,在售,普通住宅,8800
MOMOPARK,小寨西路与含光路交汇处向东50米,建面 143m²,在售,普通住宅,12000
莱安中心,长安路与雁展路交汇处东北角,,在售,写字楼,12000
海亮新英里,西沣路与雁环路交汇处东南角（西安高新国际学校对面）,,在售,商铺,26000
南飞鸿广场,南三环与朱雀大街十字东南角,,在售,写字楼,14000
合能朱阙,朱雀大街72号,,在售,写字楼,8500
宏信国际花园,南门广场东100米,建面 38~148m²,售罄,普通住宅,11500
