名称,位置,建面,销售状态,类型,价格
白桦林间,明光路与凤城九路交会处西南角,建面 130~140m²,在售,普通住宅,20000
国金华府,凤城八路与文景路十字交汇处西南角,建面 180~220m²,在售,普通住宅,13000
首府尚苑,凤城八路东段政务中心北200米路西,建面 56~147m²,在售,普通住宅,7200
西安印象,未央路和凤城九路十字东南角,建面 226m²,在售,普通住宅,0
贰号大院,凤城七路与永徽路十字西北角（未央路以东）,建面 163m²,在售,普通住宅,9500
赛高悦府,未央路与凤城七路十字西侧,建面 201~303m²,在售,普通住宅,15000
汇通太古城,凤城十二路与文景路交汇处向东150米,建面 129~178m²,在售,普通住宅,8000
九如御,凤城十路地铁运动公园站向东100米路北,建面 49~125m²,在售,普通住宅,6200
首创漫香郡,凤城十一路北文景路以东,建面 139~300m²,在售,普通住宅,14000
双威理想城,未央路178号（未央大道与凤城七路交汇处西南角）,建面 43~153m²,在售,普通住宅,8100
凤城一号,凤城一路与文景路十字东北角,建面 62m²,在售,普通住宅,5950
凤城九号,凤城九路与未央路交汇处,建面 72~173m²,在售,普通住宅,9000
三丰中心思想,凤城八路与凤新路交汇处向南200米处,建面 119~122m²,在售,普通住宅,7800
鼎正大都城,凤城八路与朱宏路十字东南角,建面 141~142m²,在售,普通住宅,9000
开元第一城,凤城九路与明光路十字向西300米,建面 166~224m²,在售,普通住宅,8300
旭景清园,未央路地铁2号线城市运动公园站D出口向北100米,建面 109~131m²,在售,普通住宅,9500
正尚国际金融广场,凤城八路与未央路十字东南角,,在售,写字楼,15000
一方中港国际,文景路与凤城十二路交汇处向北200米路西,,在售,写字楼,9000
首创富北高银,凤城十二路和文景路十字北200米路东,,在售,写字楼,7500
蓝海风中心,凤城二路37号,,在售,写字楼,13500
长和国际,凤城八路与明光路十字东南角,,在售,写字楼,10000
西北国金中心,凤城八路与文景路十字路西,,在售,写字楼,12000
城市锦上,凤城一路与明光路十字向西50米,,售罄,普通住宅,7700
麟凤尊汇,凤城六路与开元路十字西北角,,售罄,普通住宅,8000
